filename,golfer_name,label
eric_DTL_1_frame0.jpg,eric_DTL_1,P1
eric_DTL_1_frame1.jpg,eric_DTL_1,P1
eric_DTL_1_frame2.jpg,eric_DTL_1,P1
eric_DTL_1_frame3.jpg,eric_DTL_1,P1
eric_DTL_1_frame4.jpg,eric_DTL_1,P1
eric_DTL_1_frame5.jpg,eric_DTL_1,P1
eric_DTL_1_frame6.jpg,eric_DTL_1,P1
grant_DTL_1_frame108.jpg,grant_DTL_1,P1
grant_DTL_1_frame112.jpg,grant_DTL_1,P1
grant_DTL_1_frame120.jpg,grant_DTL_1,P1
grant_DTL_1_frame124.jpg,grant_DTL_1,P1
grant_DTL_1_frame126.jpg,grant_DTL_1,P1
grant_DTL_1_frame58.jpg,grant_DTL_1,P1
grant_DTL_1_frame80.jpg,grant_DTL_1,P1
grant_DTL_1_frame90.jpg,grant_DTL_1,P1
grant_DTL_1_frame96.jpg,grant_DTL_1,P1
random_1_frame10.jpg,random_1,P1
random_1_frame11.jpg,random_1,P1
random_1_frame12.jpg,random_1,P1
random_1_frame13.jpg,random_1,P1
random_1_frame14.jpg,random_1,P1
random_1_frame8.jpg,random_1,P1
random_1_frame9.jpg,random_1,P1
rob_DTL_1_frame773.jpg,rob_DTL_1,P1
rob_DTL_1_frame780.jpg,rob_DTL_1,P1
rob_DTL_1_frame788.jpg,rob_DTL_1,P1
rob_DTL_1_frame795.jpg,rob_DTL_1,P1
rob_DTL_1_frame799.jpg,rob_DTL_1,P1
rob_DTL_1_frame803.jpg,rob_DTL_1,P1
rob_DTL_1_frame809.jpg,rob_DTL_1,P1
rob_DTL_1_frame815.jpg,rob_DTL_1,P1
rob_DTL_2_frame18.jpg,rob_DTL_2,P1
rob_DTL_2_frame20.jpg,rob_DTL_2,P1
rob_DTL_2_frame21.jpg,rob_DTL_2,P1
rob_DTL_2_frame22.jpg,rob_DTL_2,P1
rob_DTL_2_frame23.jpg,rob_DTL_2,P1
rob_DTL_2_frame24.jpg,rob_DTL_2,P1
rob_DTL_3_frame3.jpg,rob_DTL_3,P1
rob_DTL_3_frame4.jpg,rob_DTL_3,P1
rob_DTL_3_frame5.jpg,rob_DTL_3,P1
rob_DTL_3_frame6.jpg,rob_DTL_3,P1
rob_DTL_3_frame8.jpg,rob_DTL_3,P1
tom_DTL_1_frame0.jpg,tom_DTL_1,P1
tom_DTL_1_frame16.jpg,tom_DTL_1,P1
tom_DTL_1_frame18.jpg,tom_DTL_1,P1
tom_DTL_1_frame20.jpg,tom_DTL_1,P1
tom_DTL_1_frame21.jpg,tom_DTL_1,P1
tom_DTL_1_frame22.jpg,tom_DTL_1,P1
tom_DTL_1_frame23.jpg,tom_DTL_1,P1
tom_DTL_2_frame0.jpg,tom_DTL_2,P1
tom_DTL_2_frame10.jpg,tom_DTL_2,P1
tom_DTL_2_frame11.jpg,tom_DTL_2,P1
tom_DTL_2_frame12.jpg,tom_DTL_2,P1
tom_DTL_2_frame6.jpg,tom_DTL_2,P1
tom_DTL_2_frame8.jpg,tom_DTL_2,P1
tom_DTL_2_frame9.jpg,tom_DTL_2,P1
eric_DTL_1_frame39.jpg,eric_DTL_1,P10
eric_DTL_1_frame40.jpg,eric_DTL_1,P10
eric_DTL_1_frame41.jpg,eric_DTL_1,P10
eric_DTL_1_frame42.jpg,eric_DTL_1,P10
